Sample,Alcohol,Malic Acid,Ash,Alcalinity of Ash,Magnesium,Total phenols,Flavanoids,Nonflavanoid phenols,Proanthocyanins,Color intensity,Hue,OD280/OD315 of diluted wines,Proline
1,11.4722,3.83219,2.25229,10.1414,114.437,2.29147,2.16888,2.53561,1.43301,6.93169,1.37229,2.1376,745.92
2,11.2252,2.19536,2.18777,12.121,105.547,2.58447,2.00736,2.56314,1.86205,6.59835,1.2353,2.8443,1027.81
3,12.1945,1.61397,2.54119,10.3771,111.963,2.32897,2.32306,2.32061,1.09417,6.5043,2.5581,2.58015,692.632
4,11.5614,2.43352,2.10456,17.2986,110.329,2.236,2.19247,2.33303,1.65863,6.52543,2.25187,3.1275,1197.8
5,11.3208,2.62838,2.08426,18.2672,107.554,2.03639,2.01833,2.9601,1.76101,6.30784,1.03513,3.31129,1501.18
6,10.79,2.02949,2.59952,14.0883,100.865,2.78794,2.73867,2.35793,1.29711,6.04752,2.72767,2.95164,1228.6
7,11.3142,2.92099,2.2644,11.3131,105.672,2.52932,2.77085,2.47529,1.50477,6.77992,2.85008,3.51537,673.36
8,10.6586,2.08104,2.97305,8.45198,107.906,2.57738,2.75875,2.56783,1.21569,6.49748,1.29151,2.0144,1304.38
9,13.4488,1.17771,2.28377,13.7642,107.261,2.16304,2.81686,2.41259,1.30511,6.90504,1.88018,3.39265,717.438
10,13.2953,3.75582,2.57619,15.8314,112.943,2.27918,2.01072,2.82335,1.65194,6.91291,2.67268,2.01962,1366.07
